StationId,StationName,AdminRegion,DateTime,Depth,CHLa,TN,TP,year_group
1ALOH007.93,CURTIS LAKE - 100' FROM DAM,NA,2023-05-23T00:00:00Z,0.3,19.1,1.21,0.02,2023
1ALOH007.93,CURTIS LAKE - 100' FROM DAM,NA,2023-06-27T00:00:00Z,0.3,9.08,1.01,0.03,2023
1ALOH007.93,CURTIS LAKE - 100' FROM DAM,NA,2023-07-13T00:00:00Z,0.3,6.75,0.82,0.02,2023
1ALOH007.93,CURTIS LAKE - 100' FROM DAM,NA,2023-08-01T00:00:00Z,0.3,10.5,0.65,0.02,2023
1ALOH007.93,CURTIS LAKE - 100' FROM DAM,NA,2023-09-11T00:00:00Z,0.3,12.8,0.64,0.02,2023
1BCNG003.13,NA,VRO,2024-05-13T00:00:00Z,0.3,3.99,1,0.01,2024
1BCNG003.13,NA,VRO,2024-06-10T00:00:00Z,0.3,9.18,0.71,0.02,2024
1BCNG003.13,NA,VRO,2024-07-15T00:00:00Z,0.3,5.73,0.56,0.01,2024
1BCNG003.13,NA,VRO,2024-08-26T00:00:00Z,0.3,10.6,0.5,0.01,2024
1BCNG003.13,NA,VRO,2024-09-26T00:00:00Z,0.3,13.8,0.6,0.01,2024
2-APP020.23,LAKE CHESDIN STA #1 - NEAR DAM CHESTERFI,NA,2023-05-17T00:00:00Z,0.3,15.5,0.58,0.03,2023
2-APP020.23,LAKE CHESDIN STA #1 - NEAR DAM CHESTERFI,NA,2023-06-15T00:00:00Z,0.3,16.4,0.49,0.03,2023
2-APP020.23,LAKE CHESDIN STA #1 - NEAR DAM CHESTERFI,NA,2023-07-25T00:00:00Z,0.3,20.4,0.63,0.04,2023
2-APP020.23,LAKE CHESDIN STA #1 - NEAR DAM CHESTERFI,NA,2023-08-24T00:00:00Z,0.3,9.04,0.53,0.03,2023
2-APP020.23,LAKE CHESDIN STA #1 - NEAR DAM CHESTERFI,NA,2023-09-20T00:00:00Z,0.3,8.9,0.6,0.03,2023
2-BVR002.19,Above Dam - Beaver Creek Reservoir,NA,2023-05-22T00:00:00Z,0.3,2.94,0.48,0.01,2023
2-BVR002.19,Above Dam - Beaver Creek Reservoir,NA,2023-06-26T00:00:00Z,0.3,3.29,0.41,0.02,2023
2-BVR002.19,Above Dam - Beaver Creek Reservoir,NA,2023-07-24T00:00:00Z,0.3,3.93,0.44,0.02,2023
2-BVR002.19,Above Dam - Beaver Creek Reservoir,NA,2023-08-16T00:00:00Z,0.3,3.42,0.38,0.02,2023
2-BVR002.19,Above Dam - Beaver Creek Reservoir,NA,2023-09-27T00:00:00Z,0.3,5.11,0.34,0.02,2023
2-BVR002.19,NA,VRO,2024-05-20T00:00:00Z,0.3,5,NA,NA,2024
2-BVR002.19,NA,VRO,2024-06-20T00:00:00Z,0.3,1.76,NA,NA,2024
2-BVR002.19,NA,VRO,2024-07-23T00:00:00Z,0.3,0.92,NA,NA,2024
2-BVR002.19,NA,VRO,2024-08-13T00:00:00Z,0.3,11.5,NA,NA,2024
2-BVR002.19,NA,VRO,2024-09-19T00:00:00Z,0.3,1.55,NA,NA,2024
2-CHK025.15,"Chickahominy Reservoir, Station 1",NA,2023-05-16T00:00:00Z,0.3,20.2,0.87,0.05,2023
2-CHK025.15,"Chickahominy Reservoir, Station 1",NA,2023-06-12T00:00:00Z,0.3,12.2,0.69,0.06,2023
2-CHK025.15,"Chickahominy Reservoir, Station 1",NA,2023-07-17T00:00:00Z,0.3,37.7,0.98,0.07,2023
2-CHK025.15,"Chickahominy Reservoir, Station 1",NA,2023-08-07T00:00:00Z,0.3,31.3,0.84,0.06,2023
2-CHK025.15,"Chickahominy Reservoir, Station 1",NA,2023-09-19T00:00:00Z,0.3,34.1,0.82,0.06,2023
2-LCN000.20,NA,TRO,2024-05-15T00:00:00Z,0.3,97.1,NA,0.06,2024
2-LCN000.20,NA,TRO,2024-06-20T00:00:00Z,0.3,21.3,NA,0.03,2024
2-LCN000.20,NA,TRO,2024-07-30T00:00:00Z,0.3,22.4,NA,0.03,2024
2-LCN000.20,NA,TRO,2024-08-20T00:00:00Z,0.3,33.2,NA,0.04,2024
2-LCN000.20,NA,TRO,2024-09-26T00:00:00Z,0.3,18.3,NA,0.02,2024
2-LMD000.02,NA,TRO,2024-05-15T00:00:00Z,0.3,48.8,NA,0.04,2024
2-LMD000.02,NA,TRO,2024-06-20T00:00:00Z,0.3,17.2,NA,0.02,2024
2-LMD000.02,NA,TRO,2024-07-30T00:00:00Z,0.3,44,NA,0.02,2024
2-LMD000.02,NA,TRO,2024-08-20T00:00:00Z,0.3,36.2,NA,0.03,2024
2-LMD000.02,NA,TRO,2024-09-26T00:00:00Z,0.3,36.8,NA,0.03,2024
2-LMD001.41,NA,TRO,2024-05-15T00:00:00Z,0.3,74.9,NA,0.05,2024
2-LMD001.41,NA,TRO,2024-06-20T00:00:00Z,0.3,32.9,NA,0.035,2024
2-LMD001.41,NA,TRO,2024-07-30T00:00:00Z,0.3,30.2,NA,0.03,2024
2-LMD001.41,NA,TRO,2024-08-20T00:00:00Z,0.3,25.2,NA,0.03,2024
2-LMD001.41,NA,TRO,2024-09-26T00:00:00Z,0.3,23.5,NA,0.02,2024
2-MBN000.96,NA,PRO,2024-05-13T00:00:00Z,0.3,12.8,0.55,0.03,2024
2-MBN000.96,NA,PRO,2024-06-05T00:00:00Z,0.3,20.7,0.71,0.04,2024
2-MBN000.96,NA,PRO,2024-07-29T00:00:00Z,0.3,12.8,0.58,0.02,2024
2-MBN000.96,NA,PRO,2024-08-26T00:00:00Z,0.3,8.28,0.55,0.02,2024
2-MBN000.96,NA,PRO,2024-09-23T00:00:00Z,0.3,19.9,0.55,0.02,2024
2-MIN000.98,Mill Cr Reservoir- Main Lake site @ dam,NA,2023-05-03T00:00:00Z,0.3,34.1,0.74,0.04,2023
2-MIN000.98,Mill Cr Reservoir- Main Lake site @ dam,NA,2023-06-13T00:00:00Z,0.3,17.2,0.97,0.02,2023
2-MIN000.98,Mill Cr Reservoir- Main Lake site @ dam,NA,2023-07-06T00:00:00Z,0.3,20.1,1.13,0.04,2023
2-MIN000.98,Mill Cr Reservoir- Main Lake site @ dam,NA,2023-08-10T00:00:00Z,0.3,40.4,0.91,0.05,2023
2-MIN000.98,Mill Cr Reservoir- Main Lake site @ dam,NA,2023-09-13T00:00:00Z,0.3,17.2,0.78,0.02,2023
2-NWB002.93,NA,TRO,2024-05-14T00:00:00Z,0.3,17.3,NA,0.03,2024
2-NWB002.93,NA,TRO,2024-06-13T00:00:00Z,0.3,15.4,NA,0.03,2024
2-NWB002.93,NA,TRO,2024-07-24T00:00:00Z,0.3,43,NA,0.03,2024
2-NWB002.93,NA,TRO,2024-08-15T00:00:00Z,0.3,20,NA,0.02,2024
2-NWB002.93,NA,TRO,2024-09-19T00:00:00Z,0.3,15.8,NA,0.01,2024
2-NWB004.67,NA,TRO,2024-05-14T00:00:00Z,0.3,22,NA,0.03,2024
2-NWB004.67,NA,TRO,2024-06-13T00:00:00Z,0.3,15.4,NA,0.02,2024
2-NWB004.67,NA,TRO,2024-07-24T00:00:00Z,0.3,32.8,NA,0.03,2024
2-NWB004.67,NA,TRO,2024-08-15T00:00:00Z,0.3,27.4,NA,0.02,2024
2-NWB004.67,NA,TRO,2024-09-19T00:00:00Z,0.3,21.6,NA,0.02,2024
2-NWB006.06,NA,TRO,2024-05-14T00:00:00Z,0.3,19.9,NA,0.03,2024
2-NWB006.06,NA,TRO,2024-06-13T00:00:00Z,0.3,12.5,NA,0.02,2024
2-NWB006.06,NA,TRO,2024-07-24T00:00:00Z,0.3,30.6,NA,0.03,2024
2-NWB006.06,NA,TRO,2024-08-15T00:00:00Z,0.3,18.1,NA,0.02,2024
2-NWB006.06,NA,TRO,2024-09-19T00:00:00Z,0.3,17.4,NA,0.01,2024
2-SDY004.27,NA,PRO,2024-05-13T00:00:00Z,0.3,17,0.59,0.03,2024
2-SDY004.27,NA,PRO,2024-06-05T00:00:00Z,0.3,20.3,0.68,0.02,2024
2-SDY004.27,NA,PRO,2024-07-29T00:00:00Z,0.3,13.1,0.58,0.02,2024
2-SDY004.27,NA,PRO,2024-08-26T00:00:00Z,0.3,11.6,0.56,0.02,2024
2-SDY004.27,NA,PRO,2024-09-23T00:00:00Z,0.3,14.6,0.52,0.02,2024
2-SDY005.85,NA,PRO,2024-05-13T00:00:00Z,0.3,15.9,0.62,0.04,2024
2-SDY005.85,NA,PRO,2024-06-05T00:00:00Z,0.3,26.9,0.72,0.02,2024
2-SDY005.85,NA,PRO,2024-07-29T00:00:00Z,0.3,21.2,0.63,0.04,2024
2-SDY005.85,NA,PRO,2024-08-26T00:00:00Z,0.3,13.2,0.56,0.02,2024
2-SDY005.85,NA,PRO,2024-09-23T00:00:00Z,0.3,30.35,0.64,0.03,2024
2-SHS001.00,STONEHOUSE CREEK RESERVOIR-STA 100 FT FR,NA,2023-05-03T00:00:00Z,0.3,17.8,0.49,0.05,2023
2-SHS001.00,STONEHOUSE CREEK RESERVOIR-STA 100 FT FR,NA,2023-06-13T00:00:00Z,0.3,66.5,1.69,0.06,2023
2-SHS001.00,STONEHOUSE CREEK RESERVOIR-STA 100 FT FR,NA,2023-07-06T00:00:00Z,0.3,29.8,0.94,0.04,2023
2-SHS001.00,STONEHOUSE CREEK RESERVOIR-STA 100 FT FR,NA,2023-08-10T00:00:00Z,0.3,51.4,1.16,0.06,2023
